"","a1","a1a1","a2","a2a2","a3","a3a3","a4a4","a5a5","a6a6","a7a7","a8a8","a9a9","b1b1","b2","b3","b4","b5","b5a1","b5b2","b5b5","cluster"
"1",11,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,20,0,0,5,1
"10",7,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,11,0,0,10,1
"100",11,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,24,0,0,0,2
"1000",0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,24,0,0,0,3
"1001",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1002",0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1003",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1004",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1005",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1006",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1008",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6
"1009",0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,7
"101",5,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,31,0,0,0,2
"1010",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1011",0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,6
"1012",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1013",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1014",0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1015",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1016",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1017",0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1018",0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"1019",0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"102",9,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,16,0,5,0,9
"1020",0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,6
"1021",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1022",0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,10
"1024",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"1025",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"1026",0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1027",0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,7
"1028",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,6
"1029",0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"103",6,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,12,0,5,7,12
"1030",0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1032",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"1033",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8
